"","flight.date","flight.num","flight.origin","flight.dest","flight.deptime","flight.arrtime","flight.eq"
"159","2016-01-28","W61092","DTM","KTW","2016-01-28T08:15:00.000","2016-01-28T09:50:00.000","32S"
"160","2016-01-28","W61098","DTM","KTW","2016-01-28T17:15:00.000","2016-01-28T18:50:00.000","32S"
"161","2016-01-28","W61216","TRF","KTW","2016-01-28T08:55:00.000","2016-01-28T10:50:00.000","32S"
"162","2016-01-28","W61302","LTN","WAW","2016-01-28T08:20:00.000","2016-01-28T11:45:00.000","32S"
"163","2016-01-28","W61306","LTN","WAW","2016-01-28T14:25:00.000","2016-01-28T17:50:00.000","32S"
"164","2016-01-28","W61310","LTN","WAW","2016-01-28T20:35:00.000","2016-01-28T23:55:00.000","32S"
"165","2016-01-28","W61382","CRL","WAW","2016-01-28T21:00:00.000","2016-01-28T22:50:00.000","32S"
"166","2016-01-28","W61432","BGY","WAW","2016-01-28T08:50:00.000","2016-01-28T10:50:00.000","32S"
"167","2016-01-28","W61442","FCO","WAW","2016-01-28T15:15:00.000","2016-01-28T17:45:00.000","32S"
"168","2016-01-28","W61502","NYO","WAW","2016-01-28T13:30:00.000","2016-01-28T15:00:00.000","32S"
"169","2016-01-28","W61602","LTN","GDN","2016-01-28T08:15:00.000","2016-01-28T11:30:00.000","32S"
"170","2016-01-28","W61608","LTN","GDN","2016-01-28T19:35:00.000","2016-01-28T22:45:00.000","32S"
"171","2016-01-28","W61612","LPL","GDN","2016-01-28T14:05:00.000","2016-01-28T17:15:00.000","32S"
"172","2016-01-28","W61662","DTM","GDN","2016-01-28T08:10:00.000","2016-01-28T09:40:00.000","32S"
"173","2016-01-28","W61732","NYO","GDN","2016-01-28T07:40:00.000","2016-01-28T08:45:00.000","32S"
"174","2016-01-28","W61740","MMX","GDN","2016-01-28T13:45:00.000","2016-01-28T14:40:00.000","32S"
"175","2016-01-28","W61744","TRF","GDN","2016-01-28T08:20:00.000","2016-01-28T09:45:00.000","32S"
"176","2016-01-28","W61750","HAU","GDN","2016-01-28T12:30:00.000","2016-01-28T14:10:00.000","32S"
"177","2016-01-28","W61752","TKU","GDN","2016-01-28T17:55:00.000","2016-01-28T18:20:00.000","32S"
"178","2016-01-28","W61802","LTN","WRO","2016-01-28T13:05:00.000","2016-01-28T16:10:00.000","32S"
"179","2016-01-28","W61816","DSA","WRO","2016-01-28T18:40:00.000","2016-01-28T21:45:00.000","32S"
"180","2016-01-28","W61902","LTN","POZ","2016-01-28T16:20:00.000","2016-01-28T19:25:00.000","32S"
