"","flight.date","fl.num","origin","dest","dep.time","arr.time","equipment","weekday","dep.airport","dep.city","dep.country","dep.lat","dep.long","arr.airport","arr.city","arr.country","arr.lat","arr.long"
"93","2016-01-27","W63164","BLQ","OTP",2016-01-27 14:00:00,2016-01-27 17:00:00,"32S","Wed","Bologna","Bologna","Italy",44.535444,11.288667,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"94","2016-01-27","W63166","BRI","OTP",2016-01-27 15:55:00,2016-01-27 18:35:00,"32S","Wed","Bari","Bari","Italy",41.138856,16.760594,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"95","2016-01-27","W63172","MAD","OTP",2016-01-27 21:20:00,2016-01-28 01:55:00,"32S","Wed","Barajas","Madrid","Spain",40.493556,-3.566764,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"96","2016-01-27","W63176","BCN","OTP",2016-01-27 20:40:00,2016-01-28 00:55:00,"32S","Wed","Barcelona","Barcelona","Spain",41.297078,2.078464,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"97","2016-01-27","W63192","ZAZ","OTP",2016-01-27 21:10:00,2016-01-28 01:30:00,"32S","Wed","Zaragoza Ab","Zaragoza","Spain",41.666242,-1.041553,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"98","2016-01-27","W63210","MMX","OTP",2016-01-27 08:20:00,2016-01-27 11:50:00,"32S","Wed","Sturup","Malmoe","Sweden",55.530193,13.371639,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"99","2016-01-27","W63252","LCA","OTP",2016-01-27 16:05:00,2016-01-27 18:40:00,"32S","Wed","Larnaca","Larnaca","Cyprus",34.875117,33.62485,"Henri Coanda","Bucharest","Romania",44.572161,26.102178
"100","2016-01-27","W63302","LTN","CLJ",2016-01-27 08:35:00,2016-01-27 13:30:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Cluj Napoca","Cluj-napoca","Romania",46.785167,23.686167
"101","2016-01-27","W63304","LTN","CLJ",2016-01-27 18:20:00,2016-01-27 23:15:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Cluj Napoca","Cluj-napoca","Romania",46.785167,23.686167
"102","2016-01-27","W63332","BVA","CLJ",2016-01-27 08:50:00,2016-01-27 12:25:00,"32S","Wed","Tille","Beauvais","France",49.454444,2.112778,"Cluj Napoca","Cluj-napoca","Romania",46.785167,23.686167
"103","2016-01-27","W63382","BGY","CLJ",2016-01-27 15:45:00,2016-01-27 18:45:00,"32S","Wed","Bergamo Orio Al Serio","Bergamo","Italy",45.673889,9.704166,"Cluj Napoca","Cluj-napoca","Romania",46.785167,23.686167
"104","2016-01-27","W63386","CIA","CLJ",2016-01-27 07:50:00,2016-01-27 10:45:00,"32S","Wed","Ciampino","Rome","Italy",41.799361,12.594936,"Cluj Napoca","Cluj-napoca","Romania",46.785167,23.686167
"105","2016-01-27","W63406","BCN","CLJ",2016-01-27 19:55:00,2016-01-27 23:55:00,"32S","Wed","Barcelona","Barcelona","Spain",41.297078,2.078464,"Cluj Napoca","Cluj-napoca","Romania",46.785167,23.686167
"106","2016-01-27","W63480","TLV","CLJ",2016-01-27 21:40:00,2016-01-28 00:55:00,"32S","Wed","Ben Gurion","Tel-aviv","Israel",32.011389,34.886667,"Cluj Napoca","Cluj-napoca","Romania",46.785167,23.686167
"107","2016-01-27","W63502","LTN","TSR",2016-01-27 19:10:00,2016-01-27 23:55:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Traian Vuia","Timisoara","Romania",45.809861,21.337861
"108","2016-01-27","W63522","BVA","TSR",2016-01-27 13:40:00,2016-01-27 17:05:00,"32S","Wed","Tille","Beauvais","France",49.454444,2.112778,"Traian Vuia","Timisoara","Romania",45.809861,21.337861
"109","2016-01-27","W63548","CIA","TSR",2016-01-27 08:25:00,2016-01-27 11:05:00,"32S","Wed","Ciampino","Rome","Italy",41.799361,12.594936,"Traian Vuia","Timisoara","Romania",45.809861,21.337861
"110","2016-01-27","W63560","BLQ","TSR",2016-01-27 13:20:00,2016-01-27 15:55:00,"32S","Wed","Bologna","Bologna","Italy",44.535444,11.288667,"Traian Vuia","Timisoara","Romania",45.809861,21.337861
"111","2016-01-27","W63562","MAD","TSR",2016-01-27 19:55:00,2016-01-28 00:15:00,"32S","Wed","Barajas","Madrid","Spain",40.493556,-3.566764,"Traian Vuia","Timisoara","Romania",45.809861,21.337861
"112","2016-01-27","W63652","LTN","IAS",2016-01-27 13:20:00,2016-01-27 18:30:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Iasi","Iasi","Romania",47.178492,27.620631
"113","2016-01-27","W63702","LTN","TGM",2016-01-27 18:40:00,2016-01-27 23:35:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Transilvania Targu Mures","Tirgu Mures","Romania",46.467714,24.412525
"114","2016-01-27","W63726","CIA","TGM",2016-01-27 13:20:00,2016-01-27 16:15:00,"32S","Wed","Ciampino","Rome","Italy",41.799361,12.594936,"Transilvania Targu Mures","Tirgu Mures","Romania",46.467714,24.412525
"115","2016-01-27","W63762","BLQ","CRA",2016-01-27 13:20:00,2016-01-27 16:10:00,"32S","Wed","Bologna","Bologna","Italy",44.535444,11.288667,"Craiova","Craiova","Romania",44.318139,23.888611
"116","2016-01-27","W63790","BLQ","KIV",2016-01-27 07:35:00,2016-01-27 10:55:00,"32S","Wed","Bologna","Bologna","Italy",44.535444,11.288667,"Chisinau Intl","Chisinau","Moldova",46.927744,28.930978
"117","2016-01-27","W64106","FMM","BEG",2016-01-27 15:45:00,2016-01-27 17:20:00,"32S","Wed","Allgau","Memmingen","Germany",47.988758,10.2395,"Beograd","Belgrade","Serbia",44.818444,20.309139
"118","2016-01-27","W64210","MMX","BEG",2016-01-27 20:35:00,2016-01-27 22:40:00,"32S","Wed","Sturup","Malmoe","Sweden",55.530193,13.371639,"Beograd","Belgrade","Serbia",44.818444,20.309139
"119","2016-01-27","W64298","DTM","TZL",2016-01-27 08:35:00,2016-01-27 10:40:00,"32S","Wed","Dortmund","Dortmund","Germany",51.518314,7.612242,"Tuzla","Tuzla","Bosnia & Herzegovina",44.4586,18.7247
"120","2016-01-27","W64302","LTN","SOF",2016-01-27 21:05:00,2016-01-28 02:15:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Sofia","Sofia","Bulgaria",42.695194,23.406167
"121","2016-01-27","W64304","LTN","SOF",2016-01-27 14:40:00,2016-01-27 19:50:00,"32S","Wed","Luton","London","United Kingdom",51.874722,-0.368333,"Sofia","Sofia","Bulgaria",42.695194,23.406167
"122","2016-01-27","W64322","BVA","SOF",2016-01-27 14:15:00,2016-01-27 17:55:00,"32S","Wed","Tille","Beauvais","France",49.454444,2.112778,"Sofia","Sofia","Bulgaria",42.695194,23.406167
